id,FirstName,LastName,Biography,Link
28421,Francesco,Allegrini,"Italian, c. 1615 - after 1679",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=28421
7201,Albert,Allen,"American, active c. 1935",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=7201
6048,Anne,Allen,"French, active 1790s",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=6048
5720,Courtney,Allen,"American, born 1896",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=5720
7202,Eldon,Allen,"American, active c. 1935",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=7202
19508,James,Allen,"American, active 1970s",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=19508
2889,"James E.",Allen,"American, 1894 - 1964",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=2889
6097,Joseph,Allen,"British, c. 1770 - 1839",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=6097
61,Luther,Allen,"American, 1780 - 1821",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=61
2890,Giovanni,Allet,"French, c. 1668 - 1732",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=2890
2890,"Jean Charles",Allet,"French, c. 1668 - 1732",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=2890
9816,Thomas,Allom,"British, 1804 - 1872",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=9816
2344,Alessandro,Allori,"Italian, 1535 - 1607",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=2344
2344,"Alessandro di Cristofano di Lorenzo",Allori,"Italian, 1535 - 1607",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=2344
2345,Washington,Allston,"American, 1779 - 1843",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=2345
5862,"Laura Theresa",Alma-Tadema,"British, 1852 - 1909",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=5862
9817,Lawrence,Alma-Tadema,"British, 1836 - 1912",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=9817
9817,Lawrence,Alma-Tadema,"British, 1836 - 1912",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=9817
7203,Jenny,Almgren,"American, 1881 - 1962",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=7203
